,Unnamed: 0,Genotype,sequence,subtype,schema
0,0.0,A_H5N8,A/Greylag_goose/England/032698/2020,H5N8,EU_UK
1,1.0,A1,A1_ref,H5N1,US
2,2.0,A2,A2_ref,H5N1,US
3,3.0,A3,A3_ref,H5N1,US
4,4.0,A4,A4_ref,H5N1,US
5,5.0,A5,A5_ref,H5N1,US
6,6.0,A6,A6_ref,H5N5,US
7,7.0,AA_AIV55,A/chicken/England/069816/2021,H5N1,EU_UK
8,8.0,AB_AIV09,A/chicken/Scotland/054477/2021,H5N1,EU_UK
9,9.0,AF_G08,A/chicken/Italy/IZSLT-122448_21VIR9218-1/2021 ,H5N1,EU_UK
10,10.0,AH_AIV08,A/chicken/Wales/053969/2021,H5N1,EU_UK
11,11.0,AL_AIV07-B2b,A/turkey/England/057679/2021,H5N1,EU_UK
12,12.0,AM_AIV20,A/turkey/England/016515/2022,H5N1,EU_UK
13,13.0,B1.1,B1.1_ref,H5N1,US
14,14.0,B1.2,B1.2_ref,H5N1,US
15,15.0,B1.3,B1.3_ref,H5N1,US
16,16.0,B2.1,B2.1_ref,H5N1,US
17,17.0,B2.2,B2.2_ref,H5N1,US
18,18.0,B3.1,B3.1_ref,H5N1,US
19,19.0,B3.10,B3.10_ref,H5N1,US
20,20.0,B3.11,B3.11_ref,H5N1,US
21,21.0,B3.12,B3.12_ref,H5N1,US
22,22.0,B3.13,B3.13_ref,H5N1,US
23,23.0,B3.2,B3.2_ref,H5N1,US
24,24.0,B3.3,B3.3_ref,H5N1,US
25,25.0,B3.4,B3.4_ref,H5N1,US
26,26.0,B3.5,B3.5_ref,H5N1,US
27,27.0,B3.6,B3.6_ref,H5N1,US
28,28.0,B3.7,B3.7_ref,H5N1,US
29,29.0,B3.8,B3.8_ref,H5N1,US
30,30.0,B3.9,B3.9_ref,H5N1,US
31,31.0,B4.1,B4.1_ref,H5N1,US
32,32.0,B5.1,B5.1_ref,H5N1,US
33,33.0,BB_AIV48,A/chicken/England/085598/2022,H5N1,EU_UK
34,34.0,BB_WB135c,A/Herring_Gull/England/324803/2022,H5N1,EU_UK
35,35.0,C_AIV07-B1a,A/chicken/England/053052/2021,H5N1,EU_UK
36,36.0,C_AIV07-B2a,A/Greylag_goose/England/054503/2021,H5N1,EU_UK
37,37.0,C1.1,C1.1_ref,H5N1,US
38,38.0,C2.1,C2.1_ref,H5N1,US
39,39.0,CA,A/Mallard/Netherlands/18/2022,H5N1,EU
40,40.0,CB,A/Mallard/Netherlands/19/2022,H5N1,EU
41,41.0,CC_AIV223,A/Humboldt_penguin/England/161651/2022,H5N1,EU_UK
42,42.0,CD,A/swan/Italy/22VIR10875-2/2022,H5N1,EU
43,43.0,CF,A/mallard/Italy/22VIR9762-1/2022,H5N1,EU
44,44.0,CG,A/flamingo/Italy/22VIR11494-1/2022,H5N1,EU
45,45.0,CH,A/Eurasian_Wigeon/Netherlands/3/2022,H5N1,EU
46,46.0,CI,A/Great_Cormorant/Netherlands/1/2022,H5N1,EU
47,47.0,CJ,A/Eurasian_Wigeon/Netherlands/6/2022,H5N1,EU
48,48.0,CM,A/Corvus_monedula/Belgium/11918_0006/2022,H5N1,EU
49,49.0,CP_AIV204,A/chicken/England/152082/2022,H5N1,EU_UK
50,50.0,CQ_AIV73,A/chicken/England/118935/2022,H5N1,EU_UK
51,51.0,CR_WB153,A/pheasant/England/251536/2022,H5N1,EU_UK
52,52.0,CT,A/Black-headed_gull/Netherlands/4/2023,H5N1,EU
53,53.0,D_H5N5.1,A/brent_goose/England/095684/2020,H5N5,EU_UK
54,54.0,DB_WB372,A/Greylag_goose/England/132468/2023,H5N1,EU_UK
55,55.0,DD_WB359,A/Pheasant/England/113701/2023,H5N1,EU_UK
56,56.0,DE_AIV50,A/Chicken/Scotland/114160/2023,H5N1,EU_UK
57,57.0,DG_WB381,A/Canada_Goose/England/142157/2023,H5N1,EU_UK
58,58.0,DL_AIV01,A/Chicken/England/005435/2024,H5N1,EU_UK
59,59.0,E_H5N5.2,A/mute_swan/Wales/048068/2020,H5N5,EU_UK
60,60.0,G_H5N3HPAIV,A/peregrine_falcon/Northern_Ireland/AI102021-2/2021,H5N3,EU_UK
61,61.0,G01,A/Eurasian Wigeon/Netherlands/1/2020,H5N1,Asia
62,62.0,G02,A/eurasian curlew/Netherlands/20016890-001/2020,H5N1,Asia
63,63.0,G03,A/turkey/Tyumen/15-14V/2021 ,H5N1,Asia
64,64.0,G04,A/chicken/Saratov/29-07V/2021,H5N1,Asia
65,65.0,G05,A/seagull/Slovenia/2075_22VIR777-7/2021,H5N1,Asia
66,66.0,G06,A/chicken/Tyumen/47-79V/2021,H5N1,Asia
67,67.0,G07,A/mandarin duck/Korea/WA585/2021,H5N1,Asia
68,68.0,G09,A/duck/Hubei/S4465/2021(H5N1),H5N1,Asia
69,69.0,G1,A/wild duck/Hebei/SD012/2021(H5N1),H5N1,Asia
70,70.0,G10,A/Cygnus columbianus/Hubei/117/2021,H5N1,Asia
