Genotype,Frequency,Scheme,Last_seen
A1,552,GenoFlu,
A2,125,GenoFlu,
A3,66,GenoFlu,
A4,12,GenoFlu,
A5,172,GenoFlu,
B1.1,227,GenoFlu,
B1.2,180,GenoFlu,
B1.3,75,GenoFlu,
B2.1,757,GenoFlu,
B2.2,50,GenoFlu,
B3.1,109,GenoFlu,
B3.2,437,GenoFlu,
B3.3,1,GenoFlu,
B3.4,1,GenoFlu,
B3.5,32,GenoFlu,
B3.6,1,GenoFlu,
B4.1,184,GenoFlu,
B5.1,23,GenoFlu,
minor01,9,GenoFlu,
minor04,3,GenoFlu,
minor07,2,GenoFlu,
minor08,5,GenoFlu,
minor09,5,GenoFlu,
minor10,4,GenoFlu,
minor11,2,GenoFlu,
minor12,3,GenoFlu,
minor13,1,GenoFlu,
minor14,4,GenoFlu,
minor15,5,GenoFlu,
minor17,2,GenoFlu,
minor19,3,GenoFlu,
AB,887,EU,
AF,35,EU,
BB,427,EU,
C,1650,EU,
CA,1,EU,
CB,2,EU,
CD,1,EU,
CH,16,EU,
CI,1,EU,
CM,1,EU,
CR,1,EU,
CT,4,EU,
AIV07-B1,22,UK,
AIV07-B2,128,UK,
AIV08,2,UK,
AIV09,408,UK,
AIV20,1,UK,
AIV204,1,UK,
AIV223,10,UK,2023
AIV48,180,UK,2023
AIV55,1,UK,2023
AIV73,1,UK,2023
WB135,1,UK,2023
WB153,1,UK,2023
AIV01,,,2024
WB372,,,2024
WB381,,,2024
WB359,,,2024
AIV50,,UK,2024
