Genotype,sequence,subtype,schema
A_H5N8,A/Greylag_goose/England/032698/2020,H5N8,EU_UK
A1,A1_ref,H5N1,US
A2,A2_ref,H5N1,US
A3,A3_ref,H5N1,US
A4,A4_ref,H5N1,US
A5,A5_ref,H5N1,US
A6,A6_ref,H5N5,US
AA_AIV55,A/chicken/England/069816/2021,H5N1,EU_UK
AB_AIV09,A/chicken/Scotland/054477/2021,H5N1,EU_UK
AF_G08,A/chicken/Italy/IZSLT-122448_21VIR9218-1/2021 ,H5N1,EU_UK
AH_AIV08,A/chicken/Wales/053969/2021,H5N1,EU_UK
AL_AIV07-B2b,A/turkey/England/057679/2021,H5N1,EU_UK
AM_AIV20,A/turkey/England/016515/2022,H5N1,EU_UK
B1.1,B1.1_ref,H5N1,US
B1.2,B1.2_ref,H5N1,US
B1.3,B1.3_ref,H5N1,US
B2.1,B2.1_ref,H5N1,US
B2.2,B2.2_ref,H5N1,US
B3.1,B3.1_ref,H5N1,US
B3.10,B3.10_ref,H5N1,US
B3.11,B3.11_ref,H5N1,US
B3.12,B3.12_ref,H5N1,US
B3.13,B3.13_ref,H5N1,US
B3.2,B3.2_ref,H5N1,US
B3.3,B3.3_ref,H5N1,US
B3.4,B3.4_ref,H5N1,US
B3.5,B3.5_ref,H5N1,US
B3.6,B3.6_ref,H5N1,US
B3.7,B3.7_ref,H5N1,US
B3.8,B3.8_ref,H5N1,US
B3.9,B3.9_ref,H5N1,US
B4.1,B4.1_ref,H5N1,US
B5.1,B5.1_ref,H5N1,US
BB_AIV48,A/chicken/England/085598/2022,H5N1,EU_UK
BB_WB135c,A/Herring_Gull/England/324803/2022,H5N1,EU_UK
C_AIV07-B1a,A/chicken/England/053052/2021,H5N1,EU_UK
C_AIV07-B2a,A/Greylag_goose/England/054503/2021,H5N1,EU_UK
C1.1,C1.1_ref,H5N1,US
C2.1,C2.1_ref,H5N1,US
CA,A/Mallard/Netherlands/18/2022,H5N1,EU
CB,A/Mallard/Netherlands/19/2022,H5N1,EU
CC_AIV223,A/Humboldt_penguin/England/161651/2022,H5N1,EU_UK
CD,A/swan/Italy/22VIR10875-2/2022,H5N1,EU
CF,A/mallard/Italy/22VIR9762-1/2022,H5N1,EU
CG,A/flamingo/Italy/22VIR11494-1/2022,H5N1,EU
CH,A/Eurasian_Wigeon/Netherlands/3/2022,H5N1,EU
CI,A/Great_Cormorant/Netherlands/1/2022,H5N1,EU
CJ,A/Eurasian_Wigeon/Netherlands/6/2022,H5N1,EU
CM,A/Corvus_monedula/Belgium/11918_0006/2022,H5N1,EU
CP_AIV204,A/chicken/England/152082/2022,H5N1,EU_UK
CQ_AIV73,A/chicken/England/118935/2022,H5N1,EU_UK
CR_WB153,A/pheasant/England/251536/2022,H5N1,EU_UK
CT,A/Black-headed_gull/Netherlands/4/2023,H5N1,EU
D_H5N5.1,A/brent_goose/England/095684/2020,H5N5,EU_UK
DB_WB372,A/Greylag_goose/England/132468/2023,H5N1,EU_UK
DD_WB359,A/Pheasant/England/113701/2023,H5N1,EU_UK
DE_AIV50,A/Chicken/Scotland/114160/2023,H5N1,EU_UK
DG_WB381,A/Canada_Goose/England/142157/2023,H5N1,EU_UK
DL_AIV01,A/Chicken/England/005435/2024,H5N1,EU_UK
E_H5N5.2,A/mute_swan/Wales/048068/2020,H5N5,EU_UK
G_H5N3HPAIV,A/peregrine_falcon/Northern_Ireland/AI102021-2/2021,H5N3,EU_UK
G01,A/Eurasian Wigeon/Netherlands/1/2020,H5N1,Asia
G02,A/eurasian curlew/Netherlands/20016890-001/2020,H5N1,Asia
G03,A/turkey/Tyumen/15-14V/2021 ,H5N1,Asia
G04,A/chicken/Saratov/29-07V/2021,H5N1,Asia
G05,A/seagull/Slovenia/2075_22VIR777-7/2021,H5N1,Asia
G06,A/chicken/Tyumen/47-79V/2021,H5N1,Asia
G07,A/mandarin duck/Korea/WA585/2021,H5N1,Asia
G09,A/duck/Hubei/S4465/2021(H5N1),H5N1,Asia
G1,A/wild duck/Hebei/SD012/2021(H5N1),H5N1,Asia
G10,A/Cygnus columbianus/Hubei/117/2021,H5N1,Asia
G11,A/common buzzard/Netherlands/21038793-001/2021,H5N1,Asia
G12,A/chicken/Italy/21VIR10352/2021 ,H5N1,Asia
G13,A/great egret/Czech_Republic/23609/2021,H5N1,Asia
G14,A/duck/Bangladesh/19D1818/2021,H5N1,Asia
G15,A/goose/France/21P014207/2021,H5N1,Asia
G16,A/peregrine_falcon/Ireland/000191_22VIR1325-15/2022,H5N1,Asia
G17,A/chicken/Tyumen/47-66V/2021,H5N1,Asia
G18,A/avian/Burkina_Faso/21VIR11911-3/2021,H5N1,Asia
G19,A/swan/Romania/10455_22VIR2749-4/2022,H5N1,Asia
G20,A/chicken/Czech Republic/3306-2/2022,H5N1,Asia
G21,A/Buteo_buteo/Belgium/2606_0006/2022,H5N1,Asia
G22,A/bald eagle/Florida/W22-195/2022,H5N1,Asia
G23,A/bald eagle/Georgia/W22-194A/2022,H5N1,Asia
G24,A/bald eagle/Florida/W22-189/2022,H5N1,Asia
G25,A/American pelican/Kansas/W22-200/2022,H5N1,Asia
G26,A/waterfowl/Nebraska/22-007805-002-original/2022,H5N1,Asia
G27,A/turkey/South Dakota/22-008242-001-original/2022,H5N1,Asia
G28,A/Great black-backed Gull/Netherlands/3/2022,H5N1,Asia
G29,A/turkey/South Dakota/22-008239-001-original/2022,H5N1,Asia
G30,A/turkey/South Dakota/22-008485-001-original/2022,H5N1,Asia
G31,A/mallard/New York/22-008760-007-original/2022,H5N1,Asia
G32,A/chicken/Montana/22-010445-001-original/2022,H5N1,Asia
G33,A/gull/France/22P015977/2022,H5N1,Asia
G34,A/mallard/22P019377/France/2022 ,H5N1,Asia
G35,A/duck/France/22P020165/2022,H5N1,Asia
Genotype_I,A/Wild_bird/Korea/K22-742/2022,H5N1,Asia
Genotype_II,A/Spot-billed_duck/Korea/K22-920/2022,H5N1,Asia
I,A/Herring_Gull/England/123277/2023,H5N5,EU_UK
Minor01,Minor01_ref,H5N1,US
Minor04,Minor04_ref,H5N1,US
Minor07,Minor07_ref,H5N1,US
Minor08,Minor08_ref,H5N1,US
Minor09,Minor09_ref,H5N1,US
Minor10,Minor10_ref,H5N1,US
Minor11,Minor11_ref,H5N1,US
Minor12,Minor12_ref,H5N1,US
Minor13,Minor13_ref,H5N1,US
Minor14,Minor14_ref,H5N1,US
Minor15,Minor15_ref,H5N1,US
Minor16,Minor16_ref,H5N4,US
Minor17,Minor17_ref,H5N1,US
Minor18,Minor18_ref,H5N1,US
Minor19,Minor19_ref,H5N1,US
Minor24,Minor24_ref,H5N1,US
Minor25,Minor25_ref,H5N1,US
Minor26,Minor26_ref,H5N1,US
Minor27,Minor27_ref,H5N1,US
Minor28,Minor28_ref,H5N1,US
Minor29,Minor29_ref,H5N1,US
Minor30,Minor30_ref,H5N1,US
Minor31,Minor31_ref,H5N1,US
Minor32,Minor32_ref,H5N1,US
Minor33,Minor33_ref,H5N1,US
Minor34,Minor34_ref,H5N1,US
Minor35,Minor35_ref,H5N1,US
Minor36,Minor36_ref,H5N5,US
Minor37,Minor37_ref,H5N1,US
Minor38,Minor38_ref,H5N1,US
Minor39,Minor39_ref,H5N1,US
Minor40,Minor40_ref,H5N1,US
Minor41,Minor41_ref,H5N1,US
Minor42,Minor42_ref,H5N1,US
Minor43,Minor43_ref,H5N1,US
Minor44,Minor44_ref,H5N1,US
Minor45,Minor45_ref,H5N1,US
Minor46,Minor46_ref,H5N1,US
Minor47,Minor47_ref,H5N1,US
Minor48,Minor48_ref,H5N1,US
Minor50,Minor50_ref,H5N1,US
Minor51,Minor51_ref,H5N1,US
Minor52,Minor52_ref,H5N1,US
Minor53,Minor53_ref,H5N1,US
Minor55,Minor55_ref,H5N1,US
Minor56,Minor56_ref,H5N6,US
Minor57,Minor57_ref,H5N1,US
Minor58,Minor58_ref,H5N1,US
Minor60,Minor60_ref,H5N1,US
Minor61,Minor61_ref,H5N1,US
Minor62,Minor62_ref,H5N1,US
Minor63,Minor63_ref,H5N1,US
Minor65,Minor65_ref,H5N1,US
Minor66,Minor66_ref,H5N1,US
Minor67,Minor67_ref,H5N1,US
Minor70,Minor70_ref,H5N1,US
Minor71,Minor71_ref,H5N1,US
Minor73,Minor73_ref,H5N1,US
Minor74,Minor74_ref,H5N1,US
Minor75,Minor75_ref,H5N1,US
Minor76,Minor76_ref,H5N1,US
Minor77,Minor77_ref,H5N1,US
Minor78,Minor78_ref,H5N1,US
Minor79,Minor79_ref,H5N1,US
Minor80,Minor80_ref,H5N1,US
Minor81,Minor81_ref,H5N1,US
Minor82,Minor82_ref,H5N1,US
Minor83,Minor83_ref,H5N1,US
Minor84,Minor84_ref,H5N1,US
Minor85,Minor85_ref,H5N1,US
Minor86,Minor86_ref,H5N1,US
Minor87,Minor87_ref,H5N1,US
Minor89,Minor89_ref,H5N1,US
Minor90,Minor90_ref,H5N1,US
