,sequence,genotype,subtype,PB2,PB1,PA,HA,NP,NA,MP,NS,constellation
0,A/avian/Burkina_Faso/21VIR11911-3/2021,G18,H5N1,PB2_group1,PB1_group1,PA_group1,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group1|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
1,A/turkey/England/016515/2022,AM_AIV20,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group2,NP_group2,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group2|NP_group2|NA_group1|MP_group1|NS_group1
2,B4.1_ref,B4.1,H5N1,PB2_group2,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group2|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
3,Minor89_ref,Minor89,H5N1,PB2_group3,PB1_group2,PA_group2,HA_group1,NP_group1,NA_group1,MP_group1,NS_group1,PB2_group3|PB1_group2|PA_group2|HA_group1|NP_group1|NA_group1|MP_group1|NS_group1
4,A/wild_duck/Hebei/SD012/2021(H5N1),G1,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group1,NA_group2,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group1|NA_group2|MP_group1|NS_group1
5,B3.1_ref,B3.1,H5N1,PB2_group4,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group4|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
6,Minor24_ref,Minor24,H5N1,PB2_group2,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group2|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
7,B3.4_ref,B3.4,H5N1,PB2_group5,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group5|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
8,B3.9_ref,B3.9,H5N1,PB2_group2,PB1_group4,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group2,PB2_group2|PB1_group4|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group2
9,Minor34_ref,Minor34,H5N1,PB2_group6,PB1_group3,PA_group2,HA_group1,NP_group4,NA_group1,MP_group1,NS_group2,PB2_group6|PB1_group3|PA_group2|HA_group1|NP_group4|NA_group1|MP_group1|NS_group2
10,Minor31_ref,Minor31,H5N1,PB2_group7,PB1_group3,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group7|PB1_group3|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
11,A/Corvus_monedula/Belgium/11918_0006/2022,CM,H5N1,PB2_group8,PB1_group5,PA_group3,HA_group1,NP_group5,NA_group2,MP_group1,NS_group3,PB2_group8|PB1_group5|PA_group3|HA_group1|NP_group5|NA_group2|MP_group1|NS_group3
12,B5.1_ref,B5.1,H5N1,PB2_group1,PB1_group1,PA_group2,HA_group1,NP_group3,NA_group1,MP_group1,NS_group1,PB2_group1|PB1_group1|PA_group2|HA_group1|NP_group3|NA_group1|MP_group1|NS_group1
13,Minor45_ref,Minor45,H5N1,PB2_group9,PB1_group6,PA_group4,HA_group1,NP_group3,NA_group1,MP_group1,NS_group4,PB2_group9|PB1_group6|PA_group4|HA_group1|NP_group3|NA_group1|MP_group1|NS_group4
